name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York, NY, United States",2024-12-01,37.8,27,32.1,29.5,16.2,24.1,10.8,41.3,0,0,0,,0,0,30,16.1,259.2,1018.5,23,9.9,72.8,6.2,5,,2024-12-01T07:01:23,2024-12-01T16:29:07,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-02,38.7,29.9,34,33.4,21.5,27.6,15.8,47.2,0,0,0,,0,0,23,12.8,297.6,1020.4,26.7,9.9,104.2,9,5,,2024-12-02T07:02:23,2024-12-02T16:28:54,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-03,41.5,32.6,36.4,39.1,25.1,30.1,19.4,50.9,0,0,0,,0,0,31.2,14,291.2,1023.5,72.4,9.9,87.5,7.6,5,,2024-12-03T07:03:22,2024-12-03T16:28:44,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-04,41.4,30.4,36.1,35.7,24,31.2,18.4,49,0,0,0,,0,0,39.6,16.4,216.1,1019.6,51.9,9.9,64.5,5.6,4,,2024-12-04T07:04:20,2024-12-04T16:28:35,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-05,39.5,32.3,36.8,35.8,21.7,28.6,24.3,62.1,0.105,100,16.67,"rain,snow",0.3,0,45.9,27.4,259.1,1004,72.6,9.4,63,5.4,4,,2024-12-05T07:05:17,2024-12-05T16:28:29,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-06,34.8,30.3,32.5,26.6,19.8,23.6,10.4,39.8,0,0,0,,0,0,32.7,17.7,293.4,1017.6,47.5,9.9,113.9,9.8,5,,2024-12-06T07:06:13,2024-12-06T16:28:26,0.19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-07,40.6,31.5,35.8,34.3,21.7,28.2,15.7,43.8,0,0,0,,0,0,29.8,15.4,255.8,1019.1,74.6,9.9,94.9,8.3,5,,2024-12-07T07:07:07,2024-12-07T16:28:24,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-08,54.7,38.2,46.3,54.7,31.6,43.3,22.5,39,0,0,0,,0,0,31.8,17.7,248.6,1010.6,52.3,9.9,94.1,8.2,5,,2024-12-08T07:08:00,2024-12-08T16:28:25,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-09,50.6,43.1,47.3,50.6,41.5,45.9,38.6,72.8,0.182,100,25,rain,0,0,24.2,8.5,50.6,1014.9,68.5,7.9,27.6,2.5,1,,2024-12-09T07:08:51,2024-12-09T16:28:28,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-10,50.4,44.7,46.7,50.4,40.5,43.7,43.5,88.6,0.236,100,20.83,rain,0,0,27.7,8.6,60.3,1017.1,99.9,3.4,13.9,1.1,1,,2024-12-10T07:09:41,2024-12-10T16:28:34,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
